用户id	有效请求数	展示数	点击数	总消耗
1664879	550095	525947	11106	4185.43
1680161	4900773	4859493	74748	4184.55
1677470	1458447	518423	15093	4180.57
1671614	274394	110273	3898	4175.58
1674153	1242134	1022849	42164	4160.99
1570880	33162	23025	245	4160.65
1558874	765988	499359	2979	4146.89
1673681	3996567	2667709	115642	4134.64
1623836	39906	27894	312	4098.37
1683051	3954125	3912953	58177	4091.68
1684453	6012565	3340337	37210	4077.02
1653069	60490	47968	1127	4066.84
1656339	53822	37236	343	4002.95
1682205	70919	36725	689	4002.72
1623313	41357	29509	362	4001.66
1675199	808655	649548	22625	4000.29
1678589	435633	321576	18380	4000.11
1614287	231192	227781	18692	4000.1
1684245	550893	407562	5573	4000
1657777	379482	316232	22980	3990.67
1680605	207880	60491	1267	3981.64
1684520	3140845	801299	26880	3971
1681660	1447053	831373	23246	3967.19
1641292	346740	238571	15252	3960.54
1681495	680388	396766	4779	3951.92
1672014	595314	417014	6804	3949.29
1621743	62676	43666	1025	3947.62
1578314	1604125	161701	3603	3947.34
1584144	102097	71362	320	3947.17
1534265	1717138	166545	3307	3945.81
1651818	2714064	1397137	24681	3941.89
1624125	515389	401419	17559	3918.51
1657215	558959	550159	54215	3917.48
1680112	1729153	1680662	61862	3911.85
1673120	352042	289410	5873	3904.16
1671812	754972	529522	32207	3902.4
1684036	202555	136245	1062	3891.31
1645980	74511	60015	522	3883.81
1609833	257662	203044	18367	3872
1580694	2471718	2159046	33721	3860.94
1648038	437759	342381	11005	3853.16
1577340	76390	61208	436	3850.6
1683543	25060	18871	367	3848.9
1682478	903174	738215	32156	3845.29
1668659	121345	75272	2166	3844.17
1659758	598627	592033	7419	3824.14
1580064	198948	126745	6193	3822.7
1685215	61138	59622	9814	3814.31
1555362	266058	167017	7340	3806.16
1681700	166360	113002	550	3774.24
1569939	64618	39819	516	3768.45
1674343	1684412	1348224	45577	3765.76
1669812	751385	696188	12749	3765.48
1633795	42504	28225	835	3745.19
1673515	559939	251441	2734	3738.2
1671299	434016	421812	16105	3726.6
1583924	46638	37280	914	3723.9
1680494	5007316	2711587	57206	3721.36
1675439	3382499	2238084	59795	3712.86
1642079	49178	39864	1099	3709.59
1621501	472114	469095	39469	3701.87
1606555	500887	497337	46233	3682.72
1674549	622338	425822	28518	3677.79
1683530	12986	10440	166	3648.94
1681859	24028	17316	367	3642.86
1603162	398831	396749	37397	3641.43
1683839	576738	377512	19892	3612.51
1536570	2241843	1203370	26730	3603.83
1657381	3297039	2942379	67403	3601.47
1591084	105591	70164	525	3595.51
1596714	4803509	3427099	37118	3586.82
1621958	1131565	786154	20126	3526.67
1639614	454051	317313	2070	3517.13
1666771	43852	42547	7048	3510.86
1605643	567081	536880	42852	3504.08
1676808	98923	52976	785	3500.76
1643778	310211	307418	29501	3500.49
1657385	1817072	1346024	22000	3485.42
1682436	2172037	1609227	20144	3476.52
1674708	272783	111516	9850	3465.14
1682947	1329831	992604	22434	3456.24
1642521	567757	427714	17099	3450
1682485	5803585	4883321	51336	3444.66
1590755	49815	35575	805	3426.49
1657352	1118358	219003	6552	3414.01
1578309	703436	472842	9433	3404.86
1679253	6867	5482	121	3398.5
1629023	55837	37151	622	3396.22
1670415	240099	111388	2332	3384.76
1576677	206292	135700	6073	3383.17
1644760	1660544	999484	13696	3378.27
1601595	4578040	2680443	43629	3366.28
1657323	600165	442245	12920	3356.19
1662567	289628	191368	899	3353.84
1683546	13295	8816	120	3350.29
1662244	804924	261869	3254	3349.95
1682006	99849	61834	1035	3340.46
1681052	203084	123771	1874	3337.05
1590824	42415	31355	744	3325.32
1679224	87418	58669	415	3302.52
1623879	31148	20570	362	3286.73
1676518	521520	379525	11537	3275.75
1635882	2226050	2207795	33675	3265.37
1638890	726106	620036	11211	3263.56
1683142	3098923	2467259	25122	3247.91
1677969	114680	65236	854	3243.46
1685525	22813	15263	132	3241.33
1683599	22041	13429	200	3232.33
1670663	17317	17099	5813	3229.74
1641303	77038	48003	1276	3229.45
1674233	214698	106031	2228	3217.44
1669431	1345661	864615	22410	3217.37
1657794	1928481	1701792	31983	3204.24
1682927	3452	2546	71	3200.99
1684347	1647864	1108869	31360	3198.56
1672597	4086069	3926216	41466	3184.62
1678689	1811027	944981	23663	3179.63
1666633	923860	446314	11831	3177.89
1680270	1345735	1164838	19314	3176.95
1677149	83620	42789	700	3169.94
1672501	174564	118852	1428	3165.44
1680662	830191	615494	23280	3164.87
1681856	9468	9299	2810	3161.68
1654629	77755	58143	967	3153.41
1673425	174614	97317	1276	3134.19
1682108	43480	33214	447	3131.33
1629921	1876705	1860530	30260	3124.13
1677551	513490	364656	4458	3103.44
1636098	409657	316553	11274	3101.24
1595838	162112	105729	13678	3070.7
1668039	558766	397087	4706	3069.41
1618858	569325	122930	3071	3067.06
1646198	447581	382429	9394	3058.56
1580882	96310	73066	539	3051.02
1670559	1342424	961279	47342	3044.03
1658618	55823	17060	255	3038.29
1641474	30946	28530	1211	3038.24
1678615	1767216	1730556	30059	3036.1
1672353	255275	119159	742	3008
1674667	59436	28922	506	3005.94
1643501	133140	111231	2865	3005.75
1638578	818399	575317	10364	3001.14
1672930	917456	120997	5016	3000.66
1639248	2237118	878725	32742	2992.88
1644754	824095	612697	12690	2983.6
1681592	8219	5539	91	2975.88
1653812	142449	38741	902	2948.54
1671953	464860	377342	24459	2946.15
1650002	228128	181489	4304	2944.24
1651809	69457	40753	332	2938.46
1651599	17196	12482	195	2930.11
1679018	406901	271922	2568	2924.64
